,Word,Meaning
0,abberation,"depature from what is normal, anomaly, deviation, divergence, disorder, defect"
1,abeyance,latent state
2,absurd,ridiculous
3,abundant,"copious, prodigious, profilic, more than enough, rife"
4,acumen,"intelligence, keen"
5,affability,"friendly, amicable, amiable, camradeire "
6,agonay,pain
7,allies,coperating for work or other purpose
8,allusion,brief or indirect reference to person or place
9,ameliorate,make better
10,anachronistic,who beliefs belong to same other age
11,antipathy,lack of feeling or interest
12,apostle,follower
13,apprehension,"anxiety or fear that something bad will happen, grasp, understanding, alarm, angst"
14,arbitary,"random, capricious"
15,articulate,able to express things easily
16,assort,classify
17,asthetice,beauty
18,astonishment,amazed
19,averts,turn away or prevent
20,avid,enhusiastically
21,avidly,enthusiastically
22,banal,"ordinary, lackluster, dull"
23,benefactors,"patron, supporter"
24,blithely,happily
25,bogus,fake
26,capricious,"unpredictable, keeps changing"
27,caricature,"inmitation, parody, satirize, lampoon"
28,caustic,"corrosive, acidic"
29,coarseness,rough or harsh
30,coerce,persuade to do something by force or threats. pressurize
31,cognizance,having knowledge or awareness
32,coinages,creation
33,commensurate,"corresponding in size or degree; equal, equivalent"
34,commonplace,"something ordinary, trite, trivial"
35,compelling,attractive
36,complaisance,quality of being eager to pleae or happy to follow instruction
37,comprehend,understand
38,concealed,kept secret
39,condemn,"to tell incorrect, to scarific"
40,condescension,"superiority, scorn, disdain"
41,conflate,combine
42,congruity,quality of agreement and appropriatenes
43,consolidated,"joined together into coherent, compact, unified whole"
44,contemporary,"belonging to same age, period"
45,contempt,"worthless, neglect, contumacy, slighting"
46,contravend,"contradict, defy"
47,controversial,"giving rise to controversy, public disagreement, disputable"
48,conventions,"routine, tradition"
49,convoluted,"twisted, complicated"
50,corroborate,to support
51,courted,to work hard to gain
52,cow,"intimidate, threaten"
53,craven,cowardly
54,credulity,"gulibilty, tendency to be too ready to beleive something is real or true"
55,criticism,-ve
56,critique,opinion (can be +ve or -ve)
57,culmination,ending
58,cunning,"crafty, wily, artful, guileful, sly, devious"
59,cynical,distrusful of sincerity
60,daunting,unclear
61,debased,"reduced in quality, debauched, dissolute"
62,decimate,kill in mass number
63,defy,"contarvene, go against"
64,deintegrated,"break up, crumbling, deteriorating"
65,deterrent,"discouragement, damper, brake, dissuasion, disincentve"
66,deur,objection
67,dichotomy,"duality, schism"
68,dictiotomies,"a gap, charm, rift, discrepancy, schism"
69,didacticism,"pedantic, teaching morals"
70,discomfited,make someone feel uneasy or embarrash 
71,discredit,"disgrace, dishonour, disrepute"
72,disseminate,"to spread, promulgate"
73,dissent,disagreement
74,distorts,changing shapes
75,divulge,"hide, conceal"
76,doctrinaire,"dogmatic, rigid, inflexible"
77,dogmatism,authoritative
78,domestic,"relating to runnign of home or family, private, family"
79,dormant,restricted
80,druting,difficult
81,dwindles,"diminsh, decrease, reduce"
82,eclectice,"wide-ranging,broad"
83,effusion,outflow / outburst
84,egalitarian,equality
85,emerged,"come out, appear"
86,empathy,understanding the feeling
87,emphasize,"
 stress, give important or value to smoething in speaking or writing"
88,emulated,"mimic, imitate"
89,enamouredof,be filled with love for
90,enigma,"mystery, person or thing that is difficult to understand"
91,entails,involve
92,epitome,perfect example
93,equivocal,"ambivalent, ambiguous, confusion"
94,esoteric,"obsure, unclear, recondite"
95,ethos,"the characteristic spirit of a culture, era, or community as manifested in its attitudes and aspirations."
96,exacerbate,make worse
97,exaggeration,"increase, inflation"
98,exarcerbate,make worse
99,exotic,"brought from outside, non native "
100,expedites,speed up
101,explict,very clear
102,expliot,make full use of
103,fastidiousness,"careful, meticulous, puntilious, exacting"
104,feckless,irresponsible
105,ferocity,"cruel manner, fierce, savage"
106,flaccid,part of the body soft and hanging loosely lol
107,flagged,paved with flat stone slbs
